average salary,job title,seniority,location,company name,size,type of ownership,python,rstudio,sql,aws,pytorch,sas,excel
80500.0,data scientist,unspecified,Vancouver,KoBold Metals,Unknown,Company - Public,1,0,1,1,0,0,0
80500.0,data scientist,unspecified,Toronto,NorthOne,1 to 50 employees,Company - Private,1,0,1,1,0,0,1
80500.0,data scientist,unspecified,Toronto,"LotusFlare, Inc.",51 to 200 employees,Company - Private,1,0,1,1,0,0,0
80500.0,data scientist,unspecified,Montreal,Brain Finance,51 to 200 employees,Private Practice / Firm,1,0,0,1,0,0,0
89000.0,data scientist,unspecified,Ottawa,CGI,10000+ employees,Company - Public,1,0,1,1,0,1,0
89000.0,data scientist,unspecified,Welwyn,Roche,10000+ employees,Company - Public,0,0,0,0,0,0,1
89000.0,data scientist,unspecified,Brampton,Joe Fresh,201 to 500 employees,Subsidiary or Business Segment,1,0,1,1,0,0,0
89000.0,data scientist,senior,Brampton,Joe Fresh,201 to 500 employees,Subsidiary or Business Segment,1,0,1,1,0,0,0
89000.0,data scientist,unspecified,Calgary,Replicon,201 to 500 employees,Company - Private,1,0,1,1,0,0,0
89000.0,data engineer,unspecified,Montreal,Bombardier,10000+ employees,Company - Private,1,0,0,1,1,0,0
89000.0,data scientist,unspecified,Ottawa,Accedian Networks,201 to 500 employees,Company - Private,1,0,0,1,0,1,1
89000.0,data scientist,unspecified,Markham,Scarsin,51 to 200 employees,Company - Private,0,0,0,0,0,0,1
89000.0,data scientist,unspecified,Ottawa,SNC-Lavalin,10000+ employees,Company - Public,0,0,1,0,0,0,1
89000.0,machine learning engineer,unspecified,Montreal,MavTek,51 to 200 employees,Company - Private,1,0,1,1,0,0,0
89000.0,data scientist,unspecified,Montreal,Unity Technologies,1001 to 5000 employees,Company - Private,0,0,0,0,0,0,0
89000.0,data analyst,unspecified,Toronto,Big Viking Games,51 to 200 employees,Company - Private,1,0,1,1,0,0,0
89000.0,data scientist,unspecified,Toronto,MobileComm Professionals,501 to 1000 employees,Company - Private,1,0,1,1,1,1,0
89000.0,data scientist,senior,Vancouver,Visier Solutions Inc.,201 to 500 employees,Company - Private,1,0,0,1,0,0,1
89000.0,data scientist,unspecified,Canada,Awakedata,Unknown,Company - Private,1,0,1,1,0,0,1
89000.0,data scientist,unspecified,Toronto,IFG Project Resourcing,501 to 1000 employees,Subsidiary or Business Segment,1,0,1,1,0,0,0
89000.0,data engineer,unspecified,Toronto,Jarvis,51 to 200 employees,Company - Private,1,0,0,1,0,0,0
89000.0,data scientist,unspecified,Brampton,Loblaw Companies Limited,10000+ employees,Company - Public,1,0,1,1,0,0,1
89000.0,data scientist,senior,Ottawa,Fujitsu,10000+ employees,Company - Public,1,0,1,1,0,0,0
89000.0,data scientist,unspecified,Waterloo,Equitable Life Insurance Company of Canada,201 to 500 employees,Company - Private,1,0,1,1,0,0,1
89000.0,data scientist,unspecified,Saint-Laurent,CAE Inc.,10000+ employees,Company - Public,1,0,0,1,0,0,1
89000.0,machine learning engineer,unspecified,Vancouver,AbCellera Biologics,51 to 200 employees,Company - Private,1,0,0,1,1,0,0
89000.0,data analyst,unspecified,Toronto,Briq,1 to 50 employees,Company - Private,0,0,1,0,0,0,0
89000.0,data analyst,unspecified,Vancouver,University of British Columbia,10000+ employees,College / University,0,0,0,0,0,0,1
64000.0,data analyst,unspecified,Ottawa,Natural Partners Fullscript,201 to 500 employees,Company - Private,1,0,1,1,0,0,0
64000.0,data scientist,unspecified,Montreal,Services Conseils IntelliSoft,Unknown,Company - Private,1,0,0,1,0,0,1
64000.0,data scientist,unspecified,Toronto,Eagle Professional Resources,51 to 200 employees,Company - Private,1,0,0,1,1,1,0
64000.0,data scientist,unspecified,Toronto,Blackhawk Network,1001 to 5000 employees,Company - Private,1,0,0,1,1,0,1
64000.0,data analyst,unspecified,Halifax,Proposify,1 to 50 employees,Company - Private,1,0,1,1,0,0,1
64000.0,data scientist,unspecified,Montreal,Square Enix Co.,1001 to 5000 employees,Company - Public,1,0,0,1,0,0,1
64000.0,data scientist,intern,Toronto,Clearbanc,51 to 200 employees,Company - Private,1,0,1,1,0,0,0
64000.0,machine learning engineer,unspecified,Montreal,Amazon,10000+ employees,Company - Public,1,0,0,1,0,0,1
64000.0,data analyst,unspecified,Moncton,Syniti,501 to 1000 employees,Company - Private,0,0,1,0,0,1,1
64000.0,data scientist,senior,Mississauga,Savormetrics,1 to 50 employees,Company - Private,0,0,0,0,0,0,0
64000.0,data scientist,senior,Quebec,Intact,10000+ employees,Company - Public,1,0,0,1,0,0,1
64000.0,data scientist,senior,Montreal,Intact,10000+ employees,Company - Public,1,0,0,1,0,0,0
64000.0,research scientist,unspecified,Dartmouth,Fisheries and Oceans Canada,1001 to 5000 employees,Government,0,0,1,0,0,0,0
64000.0,data scientist,unspecified,Vancouver,Amazon,10000+ employees,Company - Public,1,0,0,1,0,0,0
64000.0,research scientist,unspecified,Montreal,Facebook,10000+ employees,Company - Public,1,0,0,1,0,0,0
64000.0,data scientist,unspecified,Toronto,MaxSys,1 to 50 employees,Contract,0,0,0,0,0,0,0
64000.0,statistician,senior,Welwyn,Roche,10000+ employees,Company - Public,0,0,0,0,0,1,1
64000.0,data scientist,senior,Toronto,RBC,10000+ employees,Company - Public,1,0,0,1,0,0,0
64000.0,data analyst,unspecified,Oakville,Geotab,1001 to 5000 employees,Company - Private,1,0,1,1,1,0,0
64000.0,data analyst,unspecified,Victoria,Ingrooves,51 to 200 employees,Company - Private,1,0,1,1,0,0,1
64000.0,data analyst,unspecified,Mississauga,Peel District School Board,10000+ employees,School / School District,1,0,0,1,0,0,1
64000.0,data scientist,unspecified,Vancouver,Teck Resources Limited,5001 to 10000 employees,Company - Public,0,0,0,0,0,0,1
64000.0,data analyst,unspecified,Laval,Linen Chest,501 to 1000 employees,Company - Private,0,0,0,0,0,0,1
64000.0,data scientist,unspecified,Welwyn,Roche,10000+ employees,Company - Public,0,0,0,0,0,0,1
64000.0,data analyst,unspecified,Sault Ste. Marie,Algoma Public Health,1 to 50 employees,Government,0,0,0,0,0,0,1
64500.0,data analyst,unspecified,Edmonton,Systematix,501 to 1000 employees,Company - Private,0,0,0,0,0,0,0
64500.0,data scientist,senior,Brampton,Loblaw Companies Limited,10000+ employees,Company - Public,1,0,1,1,0,0,0
64500.0,data scientist,unspecified,Toronto,TD Bank,10000+ employees,Company - Public,0,0,0,0,0,0,0
64500.0,data scientist,unspecified,Montreal,MegaZebra GmbH,1 to 50 employees,Other Organisation,0,1,1,0,0,0,0
64500.0,data analyst,unspecified,Mississauga,ITAC,1 to 50 employees,Non-profit Organisation,0,0,0,0,0,0,1
64500.0,data analyst,unspecified,Toronto,College of Physicians and Surgeons of Ontario,201 to 500 employees,College / University,1,0,1,1,0,1,0
64500.0,data scientist,senior,Toronto,Fusion Analytics,1 to 50 employees,Company - Private,1,0,0,1,0,0,1
64500.0,data scientist,senior,Welwyn,Roche,10000+ employees,Company - Public,1,0,1,1,0,0,1
64500.0,data analyst,unspecified,Regina,GasBuddy,51 to 200 employees,Company - Private,1,0,1,1,0,1,1
64500.0,data scientist,unspecified,Toronto,Paytm Labs,51 to 200 employees,Company - Private,1,0,1,1,0,0,1
64500.0,research scientist,unspecified,Toronto,Altus Assessments,51 to 200 employees,Company - Private,0,0,0,0,0,0,0
64500.0,data scientist,senior,Brampton,Joe Fresh,201 to 500 employees,Subsidiary or Business Segment,1,0,1,1,0,0,0
64500.0,data scientist,unspecified,Hamilton,McMaster University,5001 to 10000 employees,College / University,0,0,0,0,0,0,1
64500.0,machine learning engineer,unspecified,Montreal,Scribendi,201 to 500 employees,Company - Private,1,0,0,1,1,0,0
64500.0,data scientist,unspecified,Toronto,TD Bank,10000+ employees,Company - Public,0,0,0,0,0,0,0
64500.0,data scientist,senior,Montreal,ESI Technologies,51 to 200 employees,Company - Private,1,0,1,1,1,0,1
64500.0,data analyst,unspecified,Halifax,AXIS Capital,1001 to 5000 employees,Company - Public,0,0,1,0,0,0,1
64500.0,data analyst,unspecified,Pembroke,Family & Children's Services of Renfrew County,Unknown,Non-profit Organisation,0,0,0,0,0,0,0
64500.0,data scientist,senior,Saskatoon,Vendasta Technologies,201 to 500 employees,Company - Private,0,0,1,0,0,0,0
64500.0,research scientist,unspecified,Markham,"Huawei Technologies Canada Co., Ltd.",10000+ employees,Company - Private,1,0,0,1,0,0,0
64500.0,data scientist,unspecified,Stouffville,Scentroid,1 to 50 employees,Company - Private,1,0,0,1,0,0,0
64500.0,data engineer,unspecified,Toronto,Capco,5001 to 10000 employees,Company - Public,0,0,1,0,0,0,1
64500.0,data scientist,senior,Montreal,DRW,1001 to 5000 employees,Company - Private,1,0,1,1,1,0,1
64500.0,data engineer,unspecified,Toronto,Amazon,10000+ employees,Company - Public,1,0,1,1,0,0,1
123000.0,data analyst,unspecified,Montreal,Mino Games,1 to 50 employees,Company - Public,1,0,1,1,0,0,1
123000.0,manager analytics,unspecified,Mississauga,Conagra Brands,10000+ employees,Company - Public,0,0,0,0,0,0,1
123000.0,research scientist,unspecified,Markham,"Huawei Technologies Canada Co., Ltd.",10000+ employees,Company - Private,1,0,0,1,0,0,0
123000.0,data analyst,unspecified,Toronto,Jam City,501 to 1000 employees,Company - Private,0,0,1,0,0,0,0
123000.0,data scientist,unspecified,Montreal,Alstom Transportation,10000+ employees,Subsidiary or Business Segment,1,0,1,1,0,0,0
123000.0,data analyst,unspecified,Mississauga,NCRI,1 to 50 employees,Company - Private,1,0,1,1,0,0,1
123000.0,data engineer,unspecified,Ottawa,Ceridian,1001 to 5000 employees,Company - Public,1,0,1,1,0,0,0
123000.0,data scientist,senior,Toronto,Fusion Analytics,1 to 50 employees,Company - Private,1,0,0,1,0,0,1
123000.0,data analyst,unspecified,Toronto,Family Service Toronto,51 to 200 employees,Non-profit Organisation,0,0,1,0,0,0,1
123000.0,data scientist,unspecified,Vancouver,IT IQ TECH RECRUITERS LTD,1 to 50 employees,Company - Private,0,0,0,0,0,0,0
123000.0,data scientist,senior,Toronto,Tonal,51 to 200 employees,Company - Private,1,0,0,1,0,0,0
123000.0,data scientist,senior,Toronto,Aviva,10000+ employees,Company - Public,1,0,0,1,0,0,0
123000.0,data scientist,unspecified,Toronto,ASSURANCE,501 to 1000 employees,Company - Private,1,0,1,1,0,0,1
123000.0,data scientist,senior,Ottawa,SurveyMonkey,1001 to 5000 employees,Company - Public,1,0,0,1,1,0,1
123000.0,data analyst,unspecified,Toronto,Lucova,1 to 50 employees,Company - Public,0,0,1,0,0,0,1
